"CLIENTNUM","Attrition_Flag","Customer_Age","Gender","Income_Category","Card_Category","Credit_Limit","Total_Trans_Amt","Avg_Utilization_Ratio","Months_on_book","Months_Inactive_12_mon","monthly_spend","revolving_dependency","utilization","tenure","txn_frequency","avg_txn_value","inactivity_rate","spend_growth","txn_growth","contact_to_txn_ratio","relationship_breadth","contact_intensity","segment","label","churned"
710821833,"Existing Customer",65,"M","$40K - $60K","Blue",9095,1314,0.174,54,2,24.3333333333333,1.20684410646388,0.174,54,0.481481481481481,50.5384615384615,0.166666666666667,1.433,1.364,0.111111111111111,6,0.25,"3","Stable Moderate Users",0
710599683,"Existing Customer",56,"M","$80K - $120K","Blue",11751,1539,0,36,6,42.75,0,0,36,0.472222222222222,90.5294117647059,0.5,3.397,3.25,0,3,0,"2","Revolving Heavy Users",0
816082233,"Existing Customer",35,"M","$60K - $80K","Blue",8547,1311,0.195,30,1,43.7,1.26981707317073,0.195,30,1.1,39.7272727272727,0.0833333333333333,1.163,2,0.0882352941176471,5,0.25,"2","Revolving Heavy Users",0
712396908,"Existing Customer",57,"F","Less than $40K","Blue",2436,1570,0.279,48,2,32.7083333333333,0.432845321451305,0.279,48,0.604166666666667,54.1379310344828,0.166666666666667,1.19,0.611,0.0666666666666667,5,0.166666666666667,"3","Stable Moderate Users",0
714885258,"Existing Customer",44,"M","$80K - $120K","Blue",4234,1348,0.23,37,1,36.4324324324324,0.720533728687917,0.23,37,0.72972972972973,49.9259259259259,0.0833333333333333,1.707,1.7,0.0714285714285714,5,0.166666666666667,"2","Revolving Heavy Users",0
709967358,"Existing Customer",48,"M","$80K - $120K","Blue",30367,1671,0.078,36,2,46.4166666666667,1.41267942583732,0.078,36,0.75,61.8888888888889,0.166666666666667,1.708,0.929,0.107142857142857,6,0.25,"3","Stable Moderate Users",0
753327333,"Existing Customer",41,"M","$80K - $120K","Blue",13535,1028,0.095,34,4,30.2352941176471,1.25461613216715,0.095,34,0.617647058823529,48.9523809523809,0.333333333333333,0.653,1.625,0.0454545454545455,4,0.0833333333333333,"2","Revolving Heavy Users",0
806160108,"Existing Customer",61,"M","$40K - $60K","Blue",3193,1336,0.788,56,2,23.8571428571429,1.88257292445774,0.788,56,0.535714285714286,44.5333333333333,0.166666666666667,1.831,1.143,0.0967741935483871,2,0.25,"3","Stable Moderate Users",0
709327383,"Existing Customer",45,"F","Unknown","Blue",14470,1207,0.08,37,1,32.6216216216216,0.957781456953642,0.08,37,0.567567567567568,57.4761904761905,0.0833333333333333,0.966,0.909,0.0909090909090909,6,0.166666666666667,"3","Stable Moderate Users",0
806165208,"Existing Customer",47,"M","$60K - $80K","Blue",20979,1178,0.086,42,2,28.047619047619,1.52671755725191,0.086,42,0.642857142857143,43.6296296296296,0.166666666666667,0.906,0.929,0,5,0,"2","Revolving Heavy Users",0
708508758,"Attrited Customer",62,"F","Less than $40K","Blue",1438.3,692,0,49,3,14.1224489795918,0,0,49,0.326530612244898,43.25,0.25,1.047,0.6,0.176470588235294,2,0.25,"3","Stable Moderate Users",1
784725333,"Existing Customer",41,"M","$40K - $60K","Blue",4470,931,0.152,33,2,28.2121212121212,0.729613733905579,0.152,33,0.545454545454545,51.7222222222222,0.166666666666667,1.608,1.571,0.0526315789473684,4,0.0833333333333333,"2","Revolving Heavy Users",0
811604133,"Existing Customer",47,"F","Less than $40K","Blue",2492,1126,0.626,36,3,31.2777777777778,1.38420585625555,0.626,36,0.638888888888889,48.9565217391304,0.25,0.573,0.353,0.0833333333333333,3,0.166666666666667,"3","Stable Moderate Users",0
789124683,"Existing Customer",54,"M","$80K - $120K","Blue",12217,1110,0,42,2,26.4285714285714,0,0,42,0.5,52.8571428571429,0.166666666666667,1.075,0.75,0.136363636363636,4,0.25,"3","Stable Moderate Users",0
771071958,"Existing Customer",41,"F","Less than $40K","Blue",7768,1051,0.215,28,1,37.5357142857143,1.58650190114068,0.215,28,0.785714285714286,47.7727272727273,0.0833333333333333,0.797,0.833,0.0869565217391304,6,0.166666666666667,"3","Stable Moderate Users",0
720466383,"Existing Customer",59,"M","$40K - $60K","Blue",14784,1197,0.093,46,1,26.0217391304348,1.14691151919866,0.093,46,0.5,52.0434782608696,0.0833333333333333,0.921,1.3,0.0833333333333333,4,0.166666666666667,"3","Stable Moderate Users",0
804424383,"Existing Customer",63,"M","$60K - $80K","Blue",10215,1904,0.099,56,3,34,0.530183727034121,0.099,56,0.714285714285714,47.6,0.25,0.843,1,0.0487804878048781,3,0.166666666666667,"3","Stable Moderate Users",0
718813833,"Existing Customer",44,"F","Unknown","Blue",10100,1052,0,34,2,30.9411764705882,0,0,34,0.529411764705882,58.4444444444444,0.166666666666667,0.525,1.571,0.105263157894737,5,0.166666666666667,"3","Stable Moderate Users",0
806624208,"Existing Customer",47,"M","$40K - $60K","Blue",4785,1045,0.285,42,0,24.8809523809524,1.30210325047801,0.285,42,0.904761904761905,27.5,0,0.739,0.9,0,6,0,"2","Revolving Heavy Users",0
778348233,"Existing Customer",53,"M","$80K - $120K","Blue",2753,1038,0.658,33,2,31.4545454545455,1.74302213666987,0.658,33,0.757575757575758,41.52,0.166666666666667,0.977,2.571,0.115384615384615,3,0.25,"3","Stable Moderate Users",0
712991808,"Existing Customer",53,"M","$60K - $80K","Blue",2451,1596,0.69,48,5,33.25,1.05823418910457,0.69,48,0.541666666666667,61.3846153846154,0.416666666666667,1.323,1.6,0.037037037037037,2,0.0833333333333333,"2","Revolving Heavy Users",0
709029408,"Existing Customer",41,"M","$60K - $80K","Blue",8923,1589,0.282,36,1,44.1388888888889,1.58301886792453,0.282,36,0.666666666666667,66.2083333333333,0.0833333333333333,1.726,1.667,0.08,4,0.166666666666667,"2","Revolving Heavy Users",0
788658483,"Existing Customer",53,"F","Less than $40K","Blue",2650,1411,0.562,38,2,37.1315789473684,1.05524079320113,0.562,38,0.736842105263158,50.3928571428571,0.166666666666667,1.75,1,0.103448275862069,5,0.25,"3","Stable Moderate Users",0
787937058,"Existing Customer",58,"M","$80K - $120K","Blue",12555,1291,0.135,49,2,26.3469387755102,1.31269349845201,0.135,49,0.489795918367347,53.7916666666667,0.166666666666667,0.519,0.714,0.08,6,0.166666666666667,"3","Stable Moderate Users",0
715318008,"Existing Customer",55,"F","Less than $40K","Blue",3520,1407,0.544,36,2,39.0833333333333,1.359375,0.544,36,1.19444444444444,32.7209302325581,0.166666666666667,0.51,0.483,0.0227272727272727,4,0.0833333333333333,"2","Revolving Heavy Users",0
713962233,"Existing Customer",55,"F","Less than $40K","Blue",3035,1877,0.757,36,2,52.1388888888889,1.22364217252396,0.757,36,1.02777777777778,50.7297297297297,0.166666666666667,1.724,1.176,0.0789473684210526,6,0.25,"3","Stable Moderate Users",0
785432733,"Existing Customer",42,"F","Less than $40K","Gold",15433,966,0,36,3,26.8333333333333,0,0,36,0.611111111111111,43.9090909090909,0.25,0.865,1.2,0.130434782608696,2,0.25,"3","Stable Moderate Users",0
715190283,"Existing Customer",57,"F","$40K - $60K","Blue",3672,1464,0.241,49,3,29.8775510204082,0.604778156996587,0.241,49,0.571428571428571,52.2857142857143,0.25,1.32,0.556,0.0689655172413793,3,0.166666666666667,"3","Stable Moderate Users",0
708300483,"Attrited Customer",66,"F","Unknown","Blue",7882,704,0.077,56,4,12.5714285714286,0.858156028368794,0.077,56,0.285714285714286,44,0.333333333333333,1.052,0.143,0.176470588235294,5,0.25,"3","Stable Moderate Users",1
827111283,"Existing Customer",45,"M","$80K - $120K","Blue",32426,1109,0.018,41,2,27.0487804878049,0.520720720720721,0.018,41,0.682926829268293,39.6071428571429,0.166666666666667,1.042,0.474,0.0689655172413793,2,0.166666666666667,"3","Stable Moderate Users",0
758551608,"Existing Customer",51,"M","$40K - $60K","Blue",6205,1347,0.355,44,1,30.6136363636364,1.63501483679525,0.355,44,0.636363636363636,48.1071428571429,0.0833333333333333,0.803,0.556,0,4,0,"2","Revolving Heavy Users",0
773146383,"Existing Customer",50,"F","$40K - $60K","Silver",17304,1756,0.145,43,2,40.8372093023256,1.43255549231645,0.145,43,0.767441860465116,53.2121212121212,0.166666666666667,1.449,1.2,0.0882352941176471,3,0.25,"3","Stable Moderate Users",0
778493808,"Existing Customer",49,"M","$60K - $80K","Blue",3906,1756,0,37,2,47.4594594594595,0,0,37,0.864864864864865,54.875,0.166666666666667,1.214,1,0.0303030303030303,5,0.0833333333333333,"2","Revolving Heavy Users",0
720572508,"Existing Customer",38,"F","Unknown","Blue",9830,1042,0.209,28,3,37.2142857142857,1.97027804410355,0.209,28,0.821428571428571,45.304347826087,0.25,0.977,0.917,0.125,2,0.25,"3","Stable Moderate Users",0
712661433,"Existing Customer",49,"M","$80K - $120K","Blue",34516,1444,0,30,2,48.1333333333333,0,0,30,0.933333333333333,51.5714285714286,0.166666666666667,1.621,1.333,0.103448275862069,3,0.25,"2","Revolving Heavy Users",0
789172683,"Existing Customer",56,"M","$60K - $80K","Blue",2283,1741,0.626,45,2,38.6888888888889,0.82089552238806,0.626,45,0.6,64.4814814814815,0.166666666666667,2.316,0.588,0,6,0,"2","Revolving Heavy Users",0
738406533,"Existing Customer",59,"M","$40K - $60K","Blue",2548,1719,0.793,52,2,33.0576923076923,1.17441860465116,0.793,52,0.519230769230769,63.6666666666667,0.166666666666667,2.357,1.7,0.0714285714285714,3,0.166666666666667,"2","Revolving Heavy Users",0
799723908,"Existing Customer",46,"M","$80K - $120K","Blue",19458,1217,0.074,40,3,30.425,1.17816091954023,0.074,40,0.675,45.0740740740741,0.25,0.787,0.8,0.107142857142857,4,0.25,"3","Stable Moderate Users",0
771490833,"Existing Customer",52,"M","$80K - $120K","Blue",4745,1140,0.259,40,1,28.5,1.07537248028046,0.259,40,1,28.5,0.0833333333333333,0.624,0.6,0.024390243902439,5,0.0833333333333333,"2","Revolving Heavy Users",0
720756708,"Existing Customer",52,"F","Less than $40K","Blue",2622,1878,0.591,41,3,45.8048780487805,0.824374667376264,0.591,41,0.731707317073171,62.6,0.25,1.321,1.143,0.0645161290322581,6,0.166666666666667,"2","Revolving Heavy Users",0
779471883,"Attrited Customer",54,"F","Less than $40K","Blue",1438.3,705,0.562,40,3,17.625,1.14447592067989,0.562,40,0.475,37.1052631578947,0.25,0.997,0.9,0.05,2,0.0833333333333333,"3","Stable Moderate Users",1
711525033,"Existing Customer",66,"F","Less than $40K","Blue",3171,1946,0.687,54,4,36.037037037037,1.11915767847971,0.687,54,0.703703703703704,51.2105263157895,0.333333333333333,1.224,1.923,0.0512820512820513,3,0.166666666666667,"2","Revolving Heavy Users",0
712813458,"Existing Customer",49,"M","$120K +","Blue",19763,1414,0.127,36,2,39.2777777777778,1.77879858657244,0.127,36,0.972222222222222,40.4,0.166666666666667,0.664,0.25,0,4,0,"2","Revolving Heavy Users",0
714374133,"Attrited Customer",56,"M","$120K +","Blue",15769,602,0,36,3,16.7222222222222,0,0,36,0.416666666666667,40.1333333333333,0.25,1.041,0.364,0.1875,1,0.25,"3","Stable Moderate Users",1
717891558,"Existing Customer",49,"F","Less than $40K","Blue",3298,1052,0.667,36,4,29.2222222222222,2.08926875593542,0.667,36,0.888888888888889,32.875,0.333333333333333,0.678,0.6,0.0606060606060606,6,0.166666666666667,"3","Stable Moderate Users",0
716632758,"Existing Customer",49,"F","Less than $40K","Blue",2802,1295,0.843,36,2,35.9722222222222,1.8233024691358,0.843,36,1.11111111111111,32.375,0.166666666666667,0.75,0.6,0,2,0,"2","Revolving Heavy Users",0
768563658,"Existing Customer",56,"M","$40K - $60K","Blue",4458,1424,0.422,50,2,28.48,1.31929824561404,0.422,50,0.58,49.1034482758621,0.166666666666667,1.107,1.417,0.1,4,0.25,"3","Stable Moderate Users",0
711427458,"Existing Customer",44,"F","Unknown","Blue",6273,1359,0.156,35,1,38.8285714285714,0.719117647058824,0.156,35,0.714285714285714,54.36,0.0833333333333333,2.275,1.083,0.0769230769230769,4,0.166666666666667,"2","Revolving Heavy Users",0
714091983,"Existing Customer",42,"M","$60K - $80K","Blue",3336,1168,0.525,34,4,34.3529411764706,1.49957228400342,0.525,34,0.794117647058823,43.2592592592593,0.333333333333333,0.69,1.25,0.107142857142857,4,0.25,"3","Stable Moderate Users",0
787584108,"Existing Customer",55,"M","$80K - $120K","Blue",3436,1097,0.587,47,2,23.3404255319149,1.83606557377049,0.587,47,0.702127659574468,33.2424242424242,0.166666666666667,0.901,0.833,0.0882352941176471,4,0.25,"3","Stable Moderate Users",0
712030833,"Attrited Customer",48,"M","$60K - $80K","Silver",34516,691,0,35,4,19.7428571428571,0,0,35,0.428571428571429,46.0666666666667,0.333333333333333,0.763,0.5,0.25,2,0.333333333333333,"3","Stable Moderate Users",1
711481533,"Existing Customer",39,"M","$60K - $80K","Blue",5926,1316,0.211,33,3,39.8787878787879,0.949886104783599,0.211,33,0.848484848484849,47,0.25,0.944,1.154,0.103448275862069,5,0.25,"3","Stable Moderate Users",0
710082708,"Existing Customer",44,"M","$120K +","Blue",23957,1276,0.088,32,4,39.875,1.64604541895067,0.088,32,0.8125,49.0769230769231,0.333333333333333,0.997,0.733,0.0740740740740741,2,0.166666666666667,"3","Stable Moderate Users",0
708155733,"Existing Customer",53,"M","$120K +","Blue",14734,1289,0.111,44,2,29.2954545454545,1.26666666666667,0.111,44,0.522727272727273,56.0434782608696,0.166666666666667,0.989,0.917,0.0833333333333333,4,0.166666666666667,"3","Stable Moderate Users",0
788979258,"Existing Customer",51,"M","$80K - $120K","Silver",34516,1293,0.044,38,1,34.0263157894737,1.17078825347759,0.044,38,0.842105263157895,40.40625,0.0833333333333333,0.592,0.6,0.121212121212121,4,0.333333333333333,"3","Stable Moderate Users",0
807986133,"Existing Customer",57,"M","$60K - $80K","Blue",6584,1353,0.276,52,3,26.0192307692308,1.34194977843427,0.276,52,0.673076923076923,38.6571428571429,0.25,0.62,0.667,0.0833333333333333,5,0.25,"3","Stable Moderate Users",0
788730933,"Existing Customer",44,"F","Less than $40K","Blue",2084,1132,0.704,20,3,56.6,1.29567519858782,0.704,20,1.4,40.4285714285714,0.25,1.004,0.556,0.103448275862069,6,0.25,"3","Stable Moderate Users",0
711314058,"Existing Customer",49,"M","$60K - $80K","Blue",1687,1670,0.656,32,2,52.1875,0.662477558348294,0.656,32,0.53125,98.2352941176471,0.166666666666667,1.715,2.4,0.111111111111111,2,0.166666666666667,"2","Revolving Heavy Users",0
717975333,"Existing Customer",50,"M","$80K - $120K","Blue",25300,837,0.053,38,2,22.0263157894737,1.58711217183771,0.053,38,0.394736842105263,55.8,0.166666666666667,1.072,2,0.125,6,0.166666666666667,"3","Stable Moderate Users",0
715971108,"Existing Customer",51,"M","$120K +","Blue",34516,1550,0.051,42,2,36.9047619047619,1.13668600902643,0.051,42,0.976190476190476,37.8048780487805,0.166666666666667,1.266,1.05,0.0714285714285714,3,0.25,"3","Stable Moderate Users",0
720096558,"Existing Customer",55,"F","Less than $40K","Blue",2216,1540,0.467,42,3,36.6666666666667,0.670992861778066,0.467,42,0.857142857142857,42.7777777777778,0.25,0.758,0.286,0.0810810810810811,5,0.25,"3","Stable Moderate Users",0
719580033,"Existing Customer",54,"M","$60K - $80K","Blue",2910,1256,0.698,43,2,29.2093023255814,1.61495624502784,0.698,43,0.488372093023256,59.8095238095238,0.166666666666667,0.769,0.4,0.136363636363636,4,0.25,"3","Stable Moderate Users",0
820582308,"Existing Customer",42,"M","$80K - $120K","Blue",22913,1394,0.067,37,2,37.6756756756757,1.09534050179211,0.067,37,0.945945945945946,39.8285714285714,0.166666666666667,0.414,0.522,0.0555555555555556,6,0.166666666666667,"3","Stable Moderate Users",0
789973308,"Existing Customer",44,"M","$60K - $80K","Blue",24312,1341,0.079,35,3,38.3142857142857,1.43964232488823,0.079,35,0.685714285714286,55.875,0.25,1.312,1.182,0.12,3,0.25,"3","Stable Moderate Users",0
712876233,"Existing Customer",53,"M","$80K - $120K","Blue",5272,1289,0.287,36,3,35.8055555555556,1.17441860465116,0.287,36,0.916666666666667,39.0606060606061,0.25,0.857,0.435,0.0588235294117647,5,0.166666666666667,"3","Stable Moderate Users",0
804595158,"Existing Customer",44,"F","Less than $40K","Blue",7000,1112,0.36,36,4,30.8888888888889,2.26145552560647,0.36,36,0.638888888888889,48.3478260869565,0.333333333333333,0.475,1.875,0.0833333333333333,6,0.166666666666667,"3","Stable Moderate Users",0
714826758,"Existing Customer",37,"F","Less than $40K","Blue",7038,2339,0.256,29,4,80.6551724137931,0.76965811965812,0.256,29,1.96551724137931,41.0350877192982,0.333333333333333,0.751,0.966,0.0344827586206897,4,0.166666666666667,"2","Revolving Heavy Users",0
779058108,"Existing Customer",49,"M","$60K - $80K","Blue",2536,1468,0.719,30,1,48.9333333333333,1.24098025867937,0.719,30,0.766666666666667,63.8260869565217,0.0833333333333333,0.703,0.353,0.0833333333333333,6,0.166666666666667,"3","Stable Moderate Users",0
710790258,"Existing Customer",47,"M","$80K - $120K","Blue",28904,1334,0.066,38,3,35.1052631578947,1.42247191011236,0.066,38,0.921052631578947,38.1142857142857,0.25,0.85,0.4,0.0555555555555556,6,0.166666666666667,"3","Stable Moderate Users",0
715623483,"Existing Customer",47,"M","$60K - $80K","Blue",8567,1457,0.198,37,4,39.3783783783784,1.16255144032922,0.198,37,1.10810810810811,35.5365853658537,0.333333333333333,1.242,1.412,0,4,0,"2","Revolving Heavy Users",0
715156383,"Existing Customer",44,"M","$120K +","Blue",34516,1603,0.044,36,2,44.5277777777778,0.95573566084788,0.044,36,0.805555555555556,55.2758620689655,0.166666666666667,0.924,0.526,0.0666666666666667,6,0.166666666666667,"3","Stable Moderate Users",0
711013983,"Attrited Customer",55,"F","$40K - $60K","Blue",2158,615,0,45,4,13.6666666666667,0,0,45,0.266666666666667,51.25,0.333333333333333,0.585,0.714,0.230769230769231,2,0.25,"3","Stable Moderate Users",1
755420433,"Existing Customer",59,"F","Unknown","Blue",10133,1068,0.14,52,3,20.5384615384615,1.32553788587465,0.14,52,0.384615384615385,53.4,0.25,0.383,0.818,0.142857142857143,2,0.25,"3","Stable Moderate Users",0
794543958,"Existing Customer",53,"M","$80K - $120K","Blue",34516,1590,0.035,35,4,45.4285714285714,0.766184789440603,0.035,35,0.771428571428571,58.8888888888889,0.333333333333333,1.129,2,0.0714285714285714,5,0.166666666666667,"2","Revolving Heavy Users",0
716396358,"Existing Customer",52,"M","$60K - $80K","Blue",3085,1531,0.619,47,3,32.5744680851064,1.2467362924282,0.619,47,0.74468085106383,43.7428571428571,0.25,0.921,0.667,0,5,0,"2","Revolving Heavy Users",0
715398033,"Existing Customer",53,"M","$120K +","Blue",19040,1212,0.108,35,2,34.6285714285714,1.69497114591921,0.108,35,0.885714285714286,39.0967741935484,0.166666666666667,0.607,0.722,0.03125,4,0.0833333333333333,"3","Stable Moderate Users",0
711743883,"Existing Customer",43,"F","Less than $40K","Blue",4026,1237,0,35,2,35.3428571428571,0,0,35,0.914285714285714,38.65625,0.166666666666667,0.483,0.6,0.0909090909090909,5,0.25,"3","Stable Moderate Users",0
719720058,"Existing Customer",44,"M","$60K - $80K","Blue",12756,1413,0.066,31,3,45.5806451612903,0.591937765205092,0.066,31,0.451612903225806,100.928571428571,0.25,1.932,1.8,0.0666666666666667,4,0.0833333333333333,"2","Revolving Heavy Users",0
778992108,"Existing Customer",57,"M","$120K +","Blue",5266,1516,0,45,3,33.6888888888889,0,0,45,0.644444444444444,52.2758620689655,0.25,1.702,1.636,0.1,5,0.25,"2","Revolving Heavy Users",0
717539808,"Existing Customer",51,"F","Less than $40K","Blue",9930,1276,0,36,2,35.4444444444444,0,0,36,0.583333333333333,60.7619047619048,0.166666666666667,0.731,1.333,0.0909090909090909,3,0.166666666666667,"3","Stable Moderate Users",0
714070758,"Existing Customer",49,"M","$80K - $120K","Blue",31302,1564,0.062,38,3,41.1578947368421,1.24792332268371,0.062,38,0.921052631578947,44.6857142857143,0.25,0.875,2.182,0,4,0,"2","Revolving Heavy Users",0
714107958,"Existing Customer",45,"M","$40K - $60K","Blue",6576,1465,0,36,4,40.6944444444444,0,0,36,0.944444444444444,43.0882352941176,0.333333333333333,0.579,0.619,0.0857142857142857,4,0.25,"3","Stable Moderate Users",0
789140283,"Existing Customer",53,"M","$80K - $120K","Blue",2664,1286,0.765,42,4,30.6190476190476,1.58275058275058,0.765,42,0.69047619047619,44.3448275862069,0.333333333333333,0.85,0.933,0.0333333333333333,5,0.0833333333333333,"3","Stable Moderate Users",0
715550508,"Existing Customer",45,"F","Unknown","Blue",2535,1312,0.963,28,1,46.8571428571429,1.85833968012186,0.963,28,0.714285714285714,65.6,0.0833333333333333,1.705,1.222,0.0952380952380952,5,0.166666666666667,"3","Stable Moderate Users",0
719712633,"Existing Customer",64,"M","Less than $40K","Blue",1709,1673,0.524,52,4,32.1730769230769,0.534647550776583,0.524,52,0.615384615384615,52.28125,0.333333333333333,1.656,0.882,0.0909090909090909,6,0.25,"3","Stable Moderate Users",0
772629333,"Existing Customer",45,"M","$40K - $60K","Blue",3454,1313,0.347,35,4,37.5142857142857,0.91324200913242,0.347,35,0.857142857142857,43.7666666666667,0.333333333333333,0.597,0.304,0.0645161290322581,5,0.166666666666667,"3","Stable Moderate Users",0
720336708,"Existing Customer",53,"M","$40K - $60K","Blue",3789,1609,0.45,35,3,45.9714285714286,1.05962732919255,0.45,35,1.2,38.3095238095238,0.25,1.047,0.68,0.0465116279069767,5,0.166666666666667,"3","Stable Moderate Users",0
802013583,"Existing Customer",56,"M","$120K +","Blue",9689,1158,0.232,50,2,23.16,1.94132873166523,0.232,50,0.38,60.9473684210526,0.166666666666667,0.576,0.727,0,3,0,"2","Revolving Heavy Users",0
711887583,"Attrited Customer",47,"M","$80K - $120K","Blue",5449,836,0.299,37,3,22.5945945945946,1.94504181600956,0.299,37,0.486486486486487,46.4444444444444,0.25,0.696,0.385,0.157894736842105,2,0.25,"3","Stable Moderate Users",1
714778833,"Existing Customer",49,"F","Unknown","Blue",23032,1289,0.085,43,4,29.9767441860465,1.51937984496124,0.085,43,0.511627906976744,58.5909090909091,0.333333333333333,0.619,1,0,4,0,"2","Revolving Heavy Users",0
713843283,"Existing Customer",41,"F","Unknown","Silver",34516,1487,0.059,34,3,43.7352941176471,1.37970430107527,0.059,34,0.764705882352941,57.1923076923077,0.25,1.034,0.733,0.111111111111111,5,0.25,"3","Stable Moderate Users",0
779155158,"Existing Customer",53,"M","$120K +","Blue",2940,1259,0.43,34,2,37.0294117647059,1.0031746031746,0.43,34,0.970588235294118,38.1515151515151,0.166666666666667,0.562,0.5,0.0588235294117647,6,0.166666666666667,"3","Stable Moderate Users",0
721091583,"Existing Customer",44,"F","Less than $40K","Blue",3031,1298,0.62,32,3,40.5625,1.44649730561971,0.62,32,0.46875,86.5333333333333,0.25,0.788,1.5,0.1875,3,0.25,"3","Stable Moderate Users",0
713572683,"Existing Customer",44,"M","$60K - $80K","Blue",1862,1226,0,25,3,49.04,0,0,25,1.36,36.0588235294118,0.25,0.883,0.789,0,3,0,"2","Revolving Heavy Users",0
716657058,"Existing Customer",43,"F","Less than $40K","Blue",8358,1566,0.111,33,3,47.4545454545455,0.590938098276962,0.111,33,1.12121212121212,42.3243243243243,0.25,0.762,0.542,0.0789473684210526,2,0.25,"3","Stable Moderate Users",0
779509983,"Existing Customer",53,"M","$120K +","Blue",34516,1022,0.027,36,1,28.3888888888889,0.910068426197458,0.027,36,0.583333333333333,48.6666666666667,0.0833333333333333,0.828,1.1,0.0909090909090909,6,0.166666666666667,"3","Stable Moderate Users",0
717929133,"Existing Customer",44,"M","$60K - $80K","Blue",14450,1235,0.169,36,2,34.3055555555556,1.97411003236246,0.169,36,0.833333333333333,41.1666666666667,0.166666666666667,1.283,0.667,0.0967741935483871,5,0.25,"3","Stable Moderate Users",0
808284783,"Existing Customer",62,"F","Less than $40K","Blue",1438.3,1951,0,56,0,34.8392857142857,0,0,56,0.785714285714286,44.3409090909091,0,0.813,1.095,0,6,0,"2","Revolving Heavy Users",0
708476808,"Existing Customer",54,"M","$120K +","Blue",33791,1047,0.058,36,3,29.0833333333333,1.87022900763359,0.058,36,0.861111111111111,33.7741935483871,0.25,0.618,0.824,0.0625,6,0.166666666666667,"3","Stable Moderate Users",0
710916408,"Existing Customer",57,"M","$60K - $80K","Blue",8466,1342,0.223,39,3,34.4102564102564,1.40431868950112,0.223,39,0.82051282051282,41.9375,0.25,0.56,0.391,0,4,0,"2","Revolving Heavy Users",0
708492558,"Existing Customer",42,"M","$60K - $80K","Blue",15088,1107,0.057,36,3,30.75,0.780685920577617,0.057,36,0.583333333333333,52.7142857142857,0.25,0.939,1.625,0.136363636363636,5,0.25,"3","Stable Moderate Users",0
